X,CH1,CH2,
Second,Volt,Volt,
7.1096998e-01,-4.00000e-04,0.00000e+00,
7.1097100e-01,-4.00000e-04,0.00000e+00,
7.1097201e-01,-4.00000e-04,0.00000e+00,
7.1097302e-01,-4.00000e-04,0.00000e+00,
7.1097398e-01,-6.00000e-04,0.00000e+00,
7.1097499e-01,-4.00000e-04,0.00000e+00,
7.1097600e-01,-4.00000e-04,0.00000e+00,
7.1097702e-01,-4.00000e-04,0.00000e+00,
7.1097797e-01,-4.00000e-04,0.00000e+00,
7.1097898e-01,-4.00000e-04,0.00000e+00,
7.1098000e-01,-2.00000e-04,0.00000e+00,
7.1098101e-01,-2.00000e-04,0.00000e+00,
7.1098202e-01,-2.00000e-04,0.00000e+00,
7.1098298e-01,-2.00000e-04,0.00000e+00,
7.1098399e-01,-2.00000e-04,0.00000e+00,
7.1098500e-01,-2.00000e-04,0.00000e+00,
7.1098602e-01,-2.00000e-04,0.00000e+00,
7.1098697e-01,-2.00000e-04,0.00000e+00,
7.1098799e-01,-2.00000e-04,0.00000e+00,
7.1098900e-01,-2.00000e-04,0.00000e+00,
7.1099001e-01,-2.00000e-04,0.00000e+00,
7.1099102e-01,-2.00000e-04,0.00000e+00,
7.1099198e-01,-2.00000e-04,0.00000e+00,
7.1099299e-01,-2.00000e-04,0.00000e+00,
7.1099401e-01,-2.00000e-04,0.00000e+00,
7.1099502e-01,-2.00000e-04,0.00000e+00,
7.1099597e-01,-2.00000e-04,0.00000e+00,
7.1099699e-01,-2.00000e-04,0.00000e+00,
7.1099800e-01,2.00000e-04,0.00000e+00,
7.1099901e-01,4.00000e-04,0.00000e+00,
7.1100003e-01,6.00000e-04,0.00000e+00,
7.1100098e-01,8.00000e-04,0.00000e+00,
7.1100199e-01,1.00000e-03,0.00000e+00,
7.1100301e-01,1.20000e-03,0.00000e+00,
7.1100402e-01,1.40000e-03,0.00000e+00,
7.1100497e-01,1.60000e-03,0.00000e+00,
7.1100599e-01,1.80000e-03,0.00000e+00,
