X,CH1,CH2,
Second,Volt,Volt,
1.1711800e-01,-4.40000e-03,1.00000e-03,
1.1711900e-01,-4.20000e-03,6.00000e-04,
1.1712000e-01,-4.00000e-03,2.00000e-04,
1.1712100e-01,-3.80000e-03,-2.00000e-04,
1.1712200e-01,-3.60000e-03,-6.00000e-04,
1.1712300e-01,-3.40000e-03,-1.00000e-03,
1.1712400e-01,-3.20000e-03,-1.40000e-03,
1.1712500e-01,-3.00000e-03,-1.80000e-03,
1.1712600e-01,-2.80000e-03,-2.20000e-03,
1.1712700e-01,-2.60000e-03,-2.60000e-03,
1.1712800e-01,-2.40000e-03,-3.00000e-03,
1.1712900e-01,-2.20000e-03,-3.40000e-03,
1.1713000e-01,-2.20000e-03,-3.80000e-03,
1.1713100e-01,-1.80000e-03,-2.80000e-03,
1.1713200e-01,-1.40000e-03,-2.00000e-03,
1.1713300e-01,-1.00000e-03,-1.00000e-03,
1.1713400e-01,-8.00000e-04,-2.00000e-04,
1.1713500e-01,-4.00000e-04,8.00000e-04,
1.1713600e-01,0.00000e+00,1.60000e-03,
1.1713700e-01,4.00000e-04,2.60000e-03,
1.1713800e-01,6.00000e-04,3.40000e-03,
1.1713900e-01,1.00000e-03,4.40000e-03,
1.1714000e-01,1.40000e-03,5.20000e-03,
1.1714100e-01,1.60000e-03,6.00000e-03,
1.1714200e-01,1.00000e-03,5.00000e-03,
1.1714300e-01,2.00000e-04,4.00000e-03,
1.1714400e-01,-6.00000e-04,3.00000e-03,
1.1714500e-01,-1.40000e-03,1.80000e-03,
1.1714600e-01,-2.20000e-03,8.00000e-04,
1.1714700e-01,-2.80000e-03,-2.00000e-04,
1.1714800e-01,-3.60000e-03,-1.40000e-03,
1.1714900e-01,-4.40000e-03,-2.40000e-03,
1.1715000e-01,-5.20000e-03,-3.40000e-03,
1.1715100e-01,-6.00000e-03,-4.60000e-03,
1.1715200e-01,-6.80000e-03,-5.60000e-03,
1.1715300e-01,-7.60000e-03,-6.80000e-03,
1.1715400e-01,-6.00000e-03,-5.60000e-03,
1.1715500e-01,-4.60000e-03,-4.40000e-03,
1.1715600e-01,-3.20000e-03,-3.40000e-03,
1.1715700e-01,-1.80000e-03,-2.20000e-03,
1.1715800e-01,-4.00000e-04,-1.00000e-03,
1.1715900e-01,1.20000e-03,0.00000e+00,
1.1716000e-01,2.60000e-03,1.20000e-03,
1.1716100e-01,4.00000e-03,2.40000e-03,
1.1716200e-01,5.40000e-03,3.40000e-03,
1.1716300e-01,6.80000e-03,4.60000e-03,
1.1716400e-01,8.20000e-03,5.60000e-03,
1.1716500e-01,7.00000e-03,5.00000e-03,
1.1716600e-01,5.80000e-03,4.20000e-03,
1.1716700e-01,4.60000e-03,3.40000e-03,
1.1716800e-01,3.20000e-03,2.60000e-03,
1.1716900e-01,2.00000e-03,1.80000e-03,
1.1717000e-01,8.00000e-04,1.00000e-03,
1.1717100e-01,-6.00000e-04,2.00000e-04,
1.1717200e-01,-1.80000e-03,-6.00000e-04,
1.1717300e-01,-3.00000e-03,-1.40000e-03,
1.1717400e-01,-4.40000e-03,-2.20000e-03,
1.1717500e-01,-5.60000e-03,-3.00000e-03,
1.1717600e-01,-7.00000e-03,-3.80000e-03,
1.1717700e-01,-5.60000e-03,-3.20000e-03,
1.1717800e-01,-4.20000e-03,-2.80000e-03,
1.1717900e-01,-3.00000e-03,-2.20000e-03,
1.1718000e-01,-1.60000e-03,-1.80000e-03,
1.1718100e-01,-2.00000e-04,-1.20000e-03,
1.1718200e-01,1.00000e-03,-8.00000e-04,
1.1718300e-01,2.40000e-03,-2.00000e-04,
1.1718400e-01,3.80000e-03,2.00000e-04,
1.1718500e-01,5.00000e-03,8.00000e-04,
1.1718600e-01,6.40000e-03,1.20000e-03,
1.1718700e-01,7.60000e-03,1.60000e-03,
1.1718800e-01,6.80000e-03,1.40000e-03,
1.1718900e-01,5.80000e-03,1.00000e-03,
1.1719000e-01,5.00000e-03,8.00000e-04,
1.1719100e-01,4.00000e-03,4.00000e-04,
1.1719200e-01,3.00000e-03,2.00000e-04,
1.1719300e-01,2.20000e-03,-2.00000e-04,
1.1719400e-01,1.20000e-03,-6.00000e-04,
1.1719500e-01,2.00000e-04,-8.00000e-04,
1.1719600e-01,-6.00000e-04,-1.20000e-03,
1.1719700e-01,-1.60000e-03,-1.40000e-03,
1.1719800e-01,-2.60000e-03,-1.80000e-03,
1.1719900e-01,-3.60000e-03,-2.20000e-03,
1.1720000e-01,-2.60000e-03,-1.80000e-03,
1.1720100e-01,-1.80000e-03,-1.40000e-03,
1.1720200e-01,-1.00000e-03,-1.00000e-03,
1.1720300e-01,-2.00000e-04,-6.00000e-04,
1.1720400e-01,6.00000e-04,-2.00000e-04,
1.1720500e-01,1.60000e-03,0.00000e+00,
1.1720600e-01,2.40000e-03,4.00000e-04,
1.1720700e-01,3.20000e-03,8.00000e-04,
1.1720800e-01,4.00000e-03,1.20000e-03,
1.1720900e-01,4.80000e-03,1.60000e-03,
1.1721000e-01,5.60000e-03,1.80000e-03,
1.1721100e-01,4.80000e-03,1.40000e-03,
1.1721200e-01,4.00000e-03,8.00000e-04,
1.1721300e-01,3.20000e-03,4.00000e-04,
1.1721400e-01,2.40000e-03,-2.00000e-04,
1.1721500e-01,1.60000e-03,-6.00000e-04,
1.1721600e-01,8.00000e-04,-1.20000e-03,
1.1721700e-01,0.00000e+00,-1.60000e-03,
1.1721800e-01,-8.00000e-04,-2.20000e-03,
1.1721900e-01,-1.60000e-03,-2.60000e-03,
1.1722000e-01,-2.40000e-03,-3.20000e-03,
1.1722100e-01,-3.20000e-03,-3.60000e-03,
1.1722200e-01,-4.00000e-03,-4.20000e-03,
1.1722300e-01,-3.00000e-03,-3.40000e-03,
1.1722400e-01,-2.00000e-03,-2.60000e-03,
1.1722500e-01,-1.20000e-03,-1.80000e-03,
1.1722600e-01,-2.00000e-04,-1.20000e-03,
1.1722700e-01,6.00000e-04,-4.00000e-04,
1.1722800e-01,1.60000e-03,4.00000e-04,
1.1722900e-01,2.40000e-03,1.20000e-03,
1.1723000e-01,3.40000e-03,1.80000e-03,
1.1723100e-01,4.20000e-03,2.60000e-03,
1.1723200e-01,5.20000e-03,3.40000e-03,
1.1723300e-01,6.00000e-03,4.00000e-03,
1.1723400e-01,5.00000e-03,3.60000e-03,
1.1723500e-01,4.00000e-03,3.00000e-03,
1.1723600e-01,3.00000e-03,2.60000e-03,
1.1723700e-01,2.00000e-03,2.00000e-03,
1.1723800e-01,1.00000e-03,1.60000e-03,
1.1723900e-01,0.00000e+00,1.00000e-03,
1.1724000e-01,-1.00000e-03,6.00000e-04,
1.1724100e-01,-2.00000e-03,0.00000e+00,
1.1724200e-01,-3.00000e-03,-4.00000e-04,
1.1724300e-01,-4.00000e-03,-1.00000e-03,
1.1724400e-01,-5.00000e-03,-1.40000e-03,
1.1724500e-01,-6.20000e-03,-2.00000e-03,
1.1724600e-01,-5.40000e-03,-1.80000e-03,
