X,CH1,CH2,
Second,Volt,Volt,
1.0905700e+00,0.00000e+00,0.00000e+00,
1.0905710e+00,0.00000e+00,0.00000e+00,
1.0905720e+00,0.00000e+00,0.00000e+00,
1.0905730e+00,0.00000e+00,0.00000e+00,
1.0905740e+00,0.00000e+00,0.00000e+00,
1.0905750e+00,0.00000e+00,0.00000e+00,
1.0905761e+00,0.00000e+00,0.00000e+00,
1.0905770e+00,0.00000e+00,0.00000e+00,
1.0905780e+00,0.00000e+00,0.00000e+00,
1.0905790e+00,0.00000e+00,0.00000e+00,
1.0905800e+00,0.00000e+00,0.00000e+00,
1.0905811e+00,0.00000e+00,0.00000e+00,
1.0905820e+00,0.00000e+00,0.00000e+00,
1.0905830e+00,0.00000e+00,0.00000e+00,
1.0905840e+00,0.00000e+00,0.00000e+00,
1.0905850e+00,0.00000e+00,0.00000e+00,
1.0905859e+00,0.00000e+00,0.00000e+00,
1.0905870e+00,0.00000e+00,-2.00000e-04,
1.0905880e+00,0.00000e+00,-2.00000e-04,
1.0905890e+00,0.00000e+00,-2.00000e-04,
1.0905900e+00,0.00000e+00,-2.00000e-04,
1.0905910e+00,0.00000e+00,-2.00000e-04,
1.0905920e+00,0.00000e+00,-2.00000e-04,
1.0905930e+00,0.00000e+00,-2.00000e-04,
1.0905941e+00,0.00000e+00,-2.00000e-04,
1.0905950e+00,0.00000e+00,-2.00000e-04,
1.0905960e+00,0.00000e+00,-2.00000e-04,
1.0905970e+00,0.00000e+00,-2.00000e-04,
1.0905980e+00,0.00000e+00,-2.00000e-04,
1.0905989e+00,2.00000e-04,0.00000e+00,
1.0906000e+00,2.00000e-04,0.00000e+00,
1.0906010e+00,2.00000e-04,2.00000e-04,
1.0906020e+00,2.00000e-04,2.00000e-04,
1.0906030e+00,2.00000e-04,4.00000e-04,
1.0906039e+00,2.00000e-04,4.00000e-04,
1.0906050e+00,2.00000e-04,4.00000e-04,
1.0906060e+00,2.00000e-04,6.00000e-04,
1.0906070e+00,2.00000e-04,6.00000e-04,
1.0906080e+00,2.00000e-04,8.00000e-04,
1.0906090e+00,2.00000e-04,8.00000e-04,
1.0906100e+00,2.00000e-04,8.00000e-04,
1.0906110e+00,2.00000e-04,6.00000e-04,
1.0906121e+00,2.00000e-04,4.00000e-04,
1.0906130e+00,2.00000e-04,2.00000e-04,
1.0906140e+00,2.00000e-04,-2.00000e-04,
1.0906150e+00,2.00000e-04,-4.00000e-04,
1.0906160e+00,2.00000e-04,-6.00000e-04,
1.0906169e+00,2.00000e-04,-8.00000e-04,
1.0906180e+00,2.00000e-04,-1.20000e-03,
1.0906190e+00,2.00000e-04,-1.40000e-03,
1.0906200e+00,2.00000e-04,-1.60000e-03,
1.0906210e+00,0.00000e+00,-2.00000e-03,
1.0906219e+00,0.00000e+00,-1.60000e-03,
1.0906230e+00,0.00000e+00,-1.40000e-03,
1.0906240e+00,0.00000e+00,-1.00000e-03,
1.0906250e+00,0.00000e+00,-8.00000e-04,
1.0906260e+00,0.00000e+00,-4.00000e-04,
1.0906270e+00,0.00000e+00,-2.00000e-04,
1.0906280e+00,0.00000e+00,0.00000e+00,
1.0906290e+00,0.00000e+00,4.00000e-04,
1.0906301e+00,0.00000e+00,6.00000e-04,
1.0906310e+00,0.00000e+00,1.00000e-03,
1.0906320e+00,0.00000e+00,1.20000e-03,
1.0906330e+00,0.00000e+00,1.40000e-03,
1.0906340e+00,0.00000e+00,1.00000e-03,
1.0906349e+00,0.00000e+00,6.00000e-04,
1.0906360e+00,0.00000e+00,2.00000e-04,
1.0906370e+00,0.00000e+00,-2.00000e-04,
1.0906380e+00,0.00000e+00,-6.00000e-04,
1.0906390e+00,0.00000e+00,-1.00000e-03,
1.0906399e+00,0.00000e+00,-1.40000e-03,
1.0906410e+00,0.00000e+00,-1.80000e-03,
1.0906420e+00,0.00000e+00,-2.20000e-03,
1.0906430e+00,0.00000e+00,-2.60000e-03,
1.0906440e+00,0.00000e+00,-3.00000e-03,
1.0906450e+00,2.00000e-04,-2.80000e-03,
1.0906460e+00,2.00000e-04,-2.80000e-03,
1.0906470e+00,2.00000e-04,-2.80000e-03,
1.0906481e+00,2.00000e-04,-2.60000e-03,
1.0906490e+00,2.00000e-04,-2.60000e-03,
1.0906500e+00,2.00000e-04,-2.60000e-03,
1.0906510e+00,2.00000e-04,-2.40000e-03,
1.0906520e+00,2.00000e-04,-2.40000e-03,
1.0906529e+00,2.00000e-04,-2.40000e-03,
1.0906540e+00,2.00000e-04,-2.20000e-03,
1.0906550e+00,2.00000e-04,-2.20000e-03,
1.0906560e+00,2.00000e-04,-2.20000e-03,
1.0906570e+00,2.00000e-04,-1.20000e-03,
1.0906579e+00,2.00000e-04,-4.00000e-04,
1.0906590e+00,2.00000e-04,4.00000e-04,
1.0906600e+00,2.00000e-04,1.20000e-03,
1.0906610e+00,2.00000e-04,2.00000e-03,
1.0906620e+00,0.00000e+00,2.80000e-03,
1.0906630e+00,0.00000e+00,3.60000e-03,
1.0906640e+00,0.00000e+00,4.40000e-03,
1.0906650e+00,0.00000e+00,5.20000e-03,
1.0906661e+00,0.00000e+00,6.00000e-03,
1.0906670e+00,-2.00000e-04,6.80000e-03,
1.0906680e+00,0.00000e+00,6.00000e-03,
1.0906690e+00,0.00000e+00,5.00000e-03,
1.0906700e+00,0.00000e+00,4.00000e-03,
1.0906709e+00,0.00000e+00,3.00000e-03,
1.0906720e+00,0.00000e+00,2.00000e-03,
1.0906730e+00,0.00000e+00,1.00000e-03,
1.0906740e+00,0.00000e+00,0.00000e+00,
1.0906750e+00,0.00000e+00,-1.00000e-03,
1.0906760e+00,0.00000e+00,-2.00000e-03,
1.0906770e+00,0.00000e+00,-3.00000e-03,
1.0906780e+00,0.00000e+00,-4.00000e-03,
1.0906790e+00,0.00000e+00,-5.00000e-03,
1.0906800e+00,0.00000e+00,-3.80000e-03,
1.0906810e+00,0.00000e+00,-2.60000e-03,
1.0906820e+00,0.00000e+00,-1.40000e-03,
1.0906830e+00,0.00000e+00,-4.00000e-04,
1.0906841e+00,0.00000e+00,8.00000e-04,
1.0906850e+00,0.00000e+00,2.00000e-03,
1.0906860e+00,0.00000e+00,3.20000e-03,
1.0906870e+00,0.00000e+00,4.20000e-03,
1.0906880e+00,0.00000e+00,5.40000e-03,
1.0906889e+00,0.00000e+00,6.60000e-03,
1.0906900e+00,-2.00000e-04,7.60000e-03,
1.0906910e+00,0.00000e+00,6.80000e-03,
1.0906920e+00,0.00000e+00,5.80000e-03,
1.0906930e+00,0.00000e+00,4.80000e-03,
1.0906940e+00,0.00000e+00,3.80000e-03,
1.0906950e+00,0.00000e+00,2.80000e-03,
1.0906960e+00,0.00000e+00,2.00000e-03,
1.0906971e+00,0.00000e+00,1.00000e-03,
1.0906980e+00,0.00000e+00,0.00000e+00,
1.0906990e+00,0.00000e+00,-1.00000e-03,
1.0907000e+00,0.00000e+00,-2.00000e-03,
1.0907010e+00,0.00000e+00,-3.00000e-03,
1.0907021e+00,0.00000e+00,-4.00000e-03,
1.0907030e+00,0.00000e+00,-3.00000e-03,
1.0907040e+00,0.00000e+00,-2.20000e-03,
1.0907050e+00,0.00000e+00,-1.20000e-03,
1.0907060e+00,0.00000e+00,-4.00000e-04,
1.0907069e+00,0.00000e+00,6.00000e-04,
1.0907080e+00,0.00000e+00,1.40000e-03,
1.0907090e+00,0.00000e+00,2.40000e-03,
1.0907100e+00,0.00000e+00,3.20000e-03,
