X,CH1,CH2,
Second,Volt,Volt,
1.1640000e-01,2.00000e-04,0.00000e+00,
1.1640100e-01,2.00000e-04,0.00000e+00,
1.1640200e-01,2.00000e-04,0.00000e+00,
1.1640300e-01,2.00000e-04,0.00000e+00,
1.1640400e-01,2.00000e-04,0.00000e+00,
1.1640500e-01,2.00000e-04,0.00000e+00,
1.1640600e-01,2.00000e-04,0.00000e+00,
1.1640700e-01,2.00000e-04,0.00000e+00,
1.1640800e-01,0.00000e+00,0.00000e+00,
1.1640900e-01,2.00000e-04,0.00000e+00,
1.1641000e-01,2.00000e-04,0.00000e+00,
1.1641100e-01,2.00000e-04,0.00000e+00,
1.1641200e-01,2.00000e-04,0.00000e+00,
1.1641300e-01,2.00000e-04,0.00000e+00,
1.1641400e-01,2.00000e-04,0.00000e+00,
1.1641500e-01,2.00000e-04,0.00000e+00,
1.1641600e-01,2.00000e-04,0.00000e+00,
1.1641700e-01,2.00000e-04,0.00000e+00,
1.1641800e-01,2.00000e-04,0.00000e+00,
1.1641900e-01,2.00000e-04,0.00000e+00,
1.1642000e-01,4.00000e-04,0.00000e+00,
1.1642100e-01,4.00000e-04,0.00000e+00,
1.1642200e-01,4.00000e-04,0.00000e+00,
1.1642300e-01,4.00000e-04,0.00000e+00,
1.1642400e-01,4.00000e-04,0.00000e+00,
1.1642500e-01,4.00000e-04,0.00000e+00,
1.1642600e-01,4.00000e-04,0.00000e+00,
1.1642700e-01,4.00000e-04,0.00000e+00,
1.1642800e-01,4.00000e-04,0.00000e+00,
1.1642900e-01,4.00000e-04,0.00000e+00,
1.1643000e-01,4.00000e-04,0.00000e+00,
1.1643100e-01,4.00000e-04,0.00000e+00,
1.1643200e-01,4.00000e-04,0.00000e+00,
1.1643300e-01,4.00000e-04,0.00000e+00,
1.1643400e-01,4.00000e-04,0.00000e+00,
1.1643500e-01,4.00000e-04,0.00000e+00,
1.1643600e-01,4.00000e-04,0.00000e+00,
1.1643700e-01,4.00000e-04,0.00000e+00,
1.1643800e-01,4.00000e-04,0.00000e+00,
1.1643900e-01,4.00000e-04,0.00000e+00,
1.1644000e-01,4.00000e-04,0.00000e+00,
1.1644100e-01,4.00000e-04,0.00000e+00,
1.1644200e-01,2.00000e-04,0.00000e+00,
1.1644300e-01,4.00000e-04,0.00000e+00,
1.1644400e-01,6.00000e-04,0.00000e+00,
1.1644500e-01,8.00000e-04,0.00000e+00,
1.1644600e-01,8.00000e-04,0.00000e+00,
1.1644700e-01,1.00000e-03,0.00000e+00,
1.1644800e-01,1.20000e-03,0.00000e+00,
1.1644900e-01,1.40000e-03,0.00000e+00,
1.1645000e-01,1.40000e-03,0.00000e+00,
1.1645100e-01,1.60000e-03,0.00000e+00,
1.1645200e-01,1.80000e-03,0.00000e+00,
1.1645300e-01,1.80000e-03,-2.00000e-04,
1.1645400e-01,1.60000e-03,-2.00000e-04,
1.1645500e-01,1.20000e-03,-2.00000e-04,
1.1645600e-01,8.00000e-04,-2.00000e-04,
1.1645700e-01,4.00000e-04,-2.00000e-04,
1.1645800e-01,0.00000e+00,-2.00000e-04,
1.1645900e-01,-2.00000e-04,-2.00000e-04,
1.1646000e-01,-6.00000e-04,-2.00000e-04,
1.1646100e-01,-1.00000e-03,-2.00000e-04,
1.1646200e-01,-1.40000e-03,-2.00000e-04,
1.1646300e-01,-1.80000e-03,-2.00000e-04,
1.1646400e-01,-2.20000e-03,-2.00000e-04,
1.1646500e-01,-2.60000e-03,-2.00000e-04,
1.1646600e-01,-2.00000e-03,0.00000e+00,
1.1646700e-01,-1.60000e-03,0.00000e+00,
1.1646800e-01,-1.00000e-03,0.00000e+00,
1.1646900e-01,-6.00000e-04,0.00000e+00,
1.1647000e-01,-2.00000e-04,0.00000e+00,
1.1647100e-01,4.00000e-04,0.00000e+00,
1.1647200e-01,8.00000e-04,0.00000e+00,
1.1647300e-01,1.20000e-03,0.00000e+00,
1.1647400e-01,1.80000e-03,0.00000e+00,
1.1647500e-01,2.20000e-03,0.00000e+00,
1.1647600e-01,2.60000e-03,0.00000e+00,
1.1647700e-01,2.20000e-03,0.00000e+00,
1.1647800e-01,1.80000e-03,0.00000e+00,
1.1647900e-01,1.40000e-03,0.00000e+00,
1.1648000e-01,1.00000e-03,0.00000e+00,
1.1648100e-01,6.00000e-04,0.00000e+00,
1.1648200e-01,2.00000e-04,0.00000e+00,
1.1648300e-01,-4.00000e-04,0.00000e+00,
1.1648400e-01,-8.00000e-04,0.00000e+00,
1.1648500e-01,-1.20000e-03,0.00000e+00,
1.1648600e-01,-1.60000e-03,0.00000e+00,
1.1648700e-01,-2.00000e-03,0.00000e+00,
1.1648800e-01,-2.60000e-03,0.00000e+00,
1.1648900e-01,-2.60000e-03,0.00000e+00,
1.1649000e-01,-2.60000e-03,0.00000e+00,
1.1649100e-01,-2.60000e-03,0.00000e+00,
1.1649200e-01,-2.60000e-03,0.00000e+00,
1.1649300e-01,-2.60000e-03,0.00000e+00,
1.1649400e-01,-2.80000e-03,0.00000e+00,
1.1649500e-01,-2.80000e-03,0.00000e+00,
1.1649600e-01,-2.80000e-03,0.00000e+00,
1.1649700e-01,-2.80000e-03,0.00000e+00,
1.1649800e-01,-2.80000e-03,0.00000e+00,
1.1649900e-01,-3.00000e-03,0.00000e+00,
1.1650000e-01,-2.20000e-03,0.00000e+00,
1.1650100e-01,-1.60000e-03,0.00000e+00,
1.1650200e-01,-8.00000e-04,0.00000e+00,
1.1650300e-01,-2.00000e-04,0.00000e+00,
1.1650400e-01,6.00000e-04,0.00000e+00,
1.1650500e-01,1.20000e-03,0.00000e+00,
1.1650600e-01,2.00000e-03,0.00000e+00,
1.1650700e-01,2.60000e-03,0.00000e+00,
1.1650800e-01,3.40000e-03,0.00000e+00,
1.1650900e-01,4.00000e-03,0.00000e+00,
1.1651000e-01,4.80000e-03,0.00000e+00,
1.1651100e-01,5.40000e-03,0.00000e+00,
1.1651200e-01,4.80000e-03,0.00000e+00,
1.1651300e-01,4.00000e-03,0.00000e+00,
1.1651400e-01,3.40000e-03,0.00000e+00,
1.1651500e-01,2.60000e-03,0.00000e+00,
1.1651600e-01,2.00000e-03,0.00000e+00,
1.1651700e-01,1.20000e-03,0.00000e+00,
1.1651800e-01,6.00000e-04,0.00000e+00,
1.1651900e-01,-2.00000e-04,0.00000e+00,
1.1652000e-01,-8.00000e-04,0.00000e+00,
1.1652100e-01,-1.60000e-03,0.00000e+00,
1.1652200e-01,-2.40000e-03,0.00000e+00,
1.1652300e-01,-1.60000e-03,0.00000e+00,
1.1652400e-01,-8.00000e-04,0.00000e+00,
1.1652500e-01,0.00000e+00,0.00000e+00,
1.1652600e-01,8.00000e-04,0.00000e+00,
1.1652700e-01,1.60000e-03,0.00000e+00,
1.1652800e-01,2.40000e-03,0.00000e+00,
1.1652900e-01,3.20000e-03,0.00000e+00,
1.1653000e-01,4.00000e-03,0.00000e+00,
1.1653100e-01,4.80000e-03,0.00000e+00,
1.1653200e-01,5.60000e-03,0.00000e+00,
1.1653300e-01,6.40000e-03,0.00000e+00,
