X,CH1,CH2,
Second,Volt,Volt,
1.0911700e+00,-8.00000e-03,-3.00000e-03,
1.0911710e+00,-6.40000e-03,-2.60000e-03,
1.0911720e+00,-5.00000e-03,-2.20000e-03,
1.0911731e+00,-3.60000e-03,-1.80000e-03,
1.0911740e+00,-2.20000e-03,-1.40000e-03,
1.0911750e+00,-8.00000e-04,-1.00000e-03,
1.0911760e+00,6.00000e-04,-6.00000e-04,
1.0911770e+00,2.00000e-03,-2.00000e-04,
1.0911781e+00,3.40000e-03,2.00000e-04,
1.0911790e+00,4.80000e-03,6.00000e-04,
1.0911800e+00,6.20000e-03,1.00000e-03,
1.0911810e+00,7.60000e-03,1.20000e-03,
1.0911820e+00,6.60000e-03,1.20000e-03,
1.0911829e+00,5.60000e-03,1.00000e-03,
1.0911840e+00,4.60000e-03,8.00000e-04,
1.0911850e+00,3.40000e-03,6.00000e-04,
1.0911860e+00,2.40000e-03,4.00000e-04,
1.0911870e+00,1.40000e-03,4.00000e-04,
1.0911880e+00,4.00000e-04,2.00000e-04,
1.0911890e+00,-8.00000e-04,0.00000e+00,
1.0911900e+00,-1.80000e-03,-2.00000e-04,
1.0911911e+00,-2.80000e-03,-4.00000e-04,
1.0911920e+00,-3.80000e-03,-6.00000e-04,
1.0911930e+00,-5.00000e-03,-8.00000e-04,
1.0911940e+00,-4.20000e-03,-6.00000e-04,
1.0911950e+00,-3.60000e-03,-4.00000e-04,
1.0911959e+00,-3.00000e-03,-2.00000e-04,
1.0911970e+00,-2.40000e-03,-2.00000e-04,
1.0911980e+00,-1.80000e-03,0.00000e+00,
1.0911990e+00,-1.00000e-03,2.00000e-04,
1.0912000e+00,-4.00000e-04,4.00000e-04,
1.0912009e+00,2.00000e-04,4.00000e-04,
1.0912020e+00,8.00000e-04,6.00000e-04,
1.0912030e+00,1.40000e-03,8.00000e-04,
1.0912040e+00,2.00000e-03,8.00000e-04,
1.0912050e+00,2.20000e-03,1.20000e-03,
1.0912060e+00,2.40000e-03,1.40000e-03,
1.0912070e+00,2.60000e-03,1.60000e-03,
1.0912080e+00,2.60000e-03,2.00000e-03,
1.0912091e+00,2.80000e-03,2.20000e-03,
1.0912100e+00,3.00000e-03,2.40000e-03,
1.0912110e+00,3.20000e-03,2.80000e-03,
