X,CH1,CH2,
Second,Volt,Volt,
7.1157002e-01,-4.80000e-03,1.40000e-03,
7.1157098e-01,-4.00000e-03,1.20000e-03,
7.1157199e-01,-3.20000e-03,1.00000e-03,
7.1157300e-01,-2.60000e-03,8.00000e-04,
7.1157402e-01,-1.80000e-03,6.00000e-04,
7.1157497e-01,-1.00000e-03,4.00000e-04,
7.1157598e-01,-4.00000e-04,2.00000e-04,
7.1157700e-01,4.00000e-04,0.00000e+00,
7.1157801e-01,1.20000e-03,-2.00000e-04,
7.1157902e-01,1.80000e-03,-4.00000e-04,
7.1157998e-01,2.60000e-03,-6.00000e-04,
7.1158099e-01,3.20000e-03,-1.00000e-03,
7.1158201e-01,2.80000e-03,-6.00000e-04,
7.1158302e-01,2.20000e-03,-2.00000e-04,
7.1158397e-01,1.60000e-03,2.00000e-04,
7.1158499e-01,1.00000e-03,4.00000e-04,
7.1158600e-01,4.00000e-04,8.00000e-04,
7.1158701e-01,0.00000e+00,1.20000e-03,
7.1158803e-01,-6.00000e-04,1.60000e-03,
7.1158898e-01,-1.20000e-03,1.80000e-03,
7.1158999e-01,-1.80000e-03,2.20000e-03,
7.1159101e-01,-2.40000e-03,2.60000e-03,
7.1159202e-01,-3.00000e-03,3.00000e-03,
7.1159297e-01,-3.60000e-03,3.20000e-03,
7.1159399e-01,-2.80000e-03,3.20000e-03,
7.1159500e-01,-2.00000e-03,3.20000e-03,
7.1159601e-01,-1.40000e-03,3.20000e-03,
7.1159703e-01,-6.00000e-04,3.20000e-03,
7.1159798e-01,2.00000e-04,3.20000e-03,
7.1159899e-01,8.00000e-04,3.20000e-03,
7.1160001e-01,1.60000e-03,3.20000e-03,
7.1160102e-01,2.40000e-03,3.20000e-03,
7.1160197e-01,3.00000e-03,3.20000e-03,
7.1160299e-01,3.80000e-03,3.20000e-03,
7.1160400e-01,4.40000e-03,3.20000e-03,
7.1160501e-01,3.80000e-03,2.40000e-03,
7.1160603e-01,3.00000e-03,1.60000e-03,
7.1160698e-01,2.20000e-03,8.00000e-04,
7.1160799e-01,1.40000e-03,0.00000e+00,
7.1160901e-01,8.00000e-04,-8.00000e-04,
7.1161002e-01,0.00000e+00,-1.60000e-03,
7.1161097e-01,-8.00000e-04,-2.40000e-03,
7.1161199e-01,-1.60000e-03,-3.20000e-03,
7.1161300e-01,-2.20000e-03,-4.00000e-03,
7.1161401e-01,-3.00000e-03,-4.80000e-03,
7.1161503e-01,-3.80000e-03,-5.60000e-03,
7.1161598e-01,-4.60000e-03,-6.40000e-03,
7.1161699e-01,-4.00000e-03,-4.80000e-03,
7.1161801e-01,-3.60000e-03,-3.40000e-03,
7.1161902e-01,-3.20000e-03,-1.80000e-03,
7.1161997e-01,-2.80000e-03,-4.00000e-04,
7.1162099e-01,-2.40000e-03,1.20000e-03,
7.1162200e-01,-1.80000e-03,2.60000e-03,
7.1162301e-01,-1.40000e-03,4.20000e-03,
7.1162403e-01,-1.00000e-03,5.60000e-03,
7.1162498e-01,-6.00000e-04,7.20000e-03,
7.1162599e-01,-2.00000e-04,8.60000e-03,
7.1162701e-01,2.00000e-04,1.00000e-02,
7.1162802e-01,4.00000e-04,8.20000e-03,
7.1162897e-01,4.00000e-04,6.40000e-03,
7.1162999e-01,4.00000e-04,4.60000e-03,
